Brand,Product_Name,Processor,GPU,RAM,Storage,Display_Resolution,Refresh_Rate,Price,RAM_GB,Storage_GB,Refresh_Hz,CPU_Score,GPU_Score,Resolution_Score,Performance_Score
Lenovo,IdeaPad Gaming 3 15ACH6,AMD Ryzen 7 5800H,NVIDIA GeForce RTX RTX 3050Ti 4GB,16GB Ram,512GB SSD M.2 2280 PCIe 3.0x4 NVMe,1920 x 1080,120 Hz,43999,16,512,120,8,6.0,3,59.5
HP,Victus 15-fb3008ne,AMD Ryzen™ 7 7445H,NVIDIA® GeForce RTX™ 2050,16 GB DDR5-5600 MT/s (2 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,30999,16,512,144,5,5.0,3,46.0
HP,Victus 16-r1049ne,Intel® Core™ i7-14700HX,NVIDIA® GeForce RTX™ 4060,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,59999,16,1024,144,8,8.0,3,69.5
HP,Victus 16-r1045ne,Intel® Core™ i7-14700HX,NVIDIA® GeForce RTX™ 4050,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,,51999,16,1024,60,8,7.0,3,64.25
Lenovo,LOQ 15IRX10,Intel® Core i7-13700HX,NVIDIA® GeForce RTX™ 5060,2x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920x1080,144 Hz,57777,12,512,144,8,8.5,3,68.12
Lenovo,LOQ 15IRX10,Intel® Core i7-14700HX,NVIDIA® GeForce RTX™ 5060,2x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920x1080,144 Hz,60999,12,512,144,8,8.5,3,68.12
Lenovo,LOQ 15IAX9E,Intel® Core i5-12450HX,NVIDIA® GeForce RTX™ 3050,1x 16GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920x1080,144 Hz,29999,16,512,144,6,6.0,3,53.0
Dell,Alienware 16X Aurora AC16251,Intel Core Ultra 7 255HX,Nvidia GeForce RTX 5060,"32GB, 2x16GB, DDR5, 5600 MT/s",1TB M.2 PCIe NVMe SSD,2560 x 1600,240 HZ,93333,32,1024,240,8,8.5,4,76.75
Dell,Alienware 16X Aurora AC16251,Intel Core Ultra 9 275HX,"NVIDIA® GeForce RTX™ 5070, 8GB","32GB, 2x16GB, DDR5, 5600 MT/s",1TB M.2 PCIe NVMe SSD,2560 x 1600,240 HZ,112000,32,1024,240,10,9.0,4,85.5
Dell,Alienware 16X Aurora AC16251,Intel Core Ultra 9 275HX,"NVIDIA® GeForce RTX™ 5060, 8GB",32GB Ram,"1 TB, M.2, PCIe NVMe, SSD",,240 HZ,91999,32,1024,240,10,8.5,2,81.75
Lenovo,Legion 5 15IAX10,Intel® Core Ultra 9 275HX,NVIDIA® GeForce RTX™ 5070,2x 16GB SO-DIMM DDR5-5600,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,2560x1600,165 HZ,93333,16,1024,165,10,9.0,4,81.44
Lenovo,Legion 5 15IRX10,Intel® Core i7-14700HX,NVIDIA® GeForce RTX™ 5060,2x 16GB SO-DIMM DDR5-5600,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,2560x1600,165 HZ,79999,16,1024,165,8,8.5,4,72.69
ASUS,ROG Strix G16 G614PR-RV009W,AMD Ryzen™ 9 8940HX,NVIDIA® GeForce RTX™ 5070 Ti,32GB DDR5-5200 SO-DIMM x 2,1TB PCIe® 4.0 NVMe™ M.2 SSD,1920 x 1200,165 HZ,114000,32,1024,165,5,9.0,3,65.44
ASUS,TUF Gaming A14 FA401UV-RG020W,AMD Ryzen 7 8845HS,NVIDIA® GeForce RTX™ 4060 8GB,"16GB 8GB*2 LPDDR5X 7500 on board,",512GB PCIe® 4.0 NVMe™ M.2 SSD,2560 x 1600,165 HZ,57399,16,512,165,8,8.0,4,68.44
Dell,Alienware 16 Aurora,Intel Core 7 240H,Nvidia GeForce RTX 5050 8GB,"16GB, 2x8GB, DDR5, 5600 MT/s",512GB M.2 PCIe NVMe SSD,2560 x 1600,120 Hz,60699,16,512,120,8,8.0,4,67.5
Dell,Alienware 16 Aurora,Intel Core 7 240H,Nvidia GeForce RTX 5060 8GB,"16GB, 2x8GB, DDR5, 5600 MT/s",512GB M.2 PCIe NVMe SSD,2560 x 1600,120 Hz,67999,16,512,120,8,8.5,4,69.25
Lenovo,LOQ 15IRX9,Intel Core i5-13450HX,Nvida GeForce RTX 4050 6GB,24GB 2x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920x1080,144 Hz,39499,24,512,144,6,7.0,3,57.75
MSI,Thin 15 B13UCX,Intel Core I5 13420H,NVIDIA® GeForce RTX™ 2050 Laptop GPU,8GB,512GB NVMe PCIe SSD Gen4x4,1920X1080,144 Hz,27549,8,512,144,6,5.0,3,48.25
MSI,Raider 18 HX AI A2XWJG,Intel® Core™ Ultra 9 275HX,NVIDIA® GeForce RTX™ 5090 Laptop GPU,DDR5 6400MHz 32GB*2,2TB NVMe PCIe Gen5x4 SSD,3840x2400,120 Hz,229999,32,2048,120,10,10.0,5,92.5
HP,Victus 15-fa1015nia,Intel® Core™ i7-13700H,NVIDIA® GeForce RTX™ 3050,16 GB DDR4-3200 MT/s (2 x 8 GB),1 TB PCIe® NVMe™ SSD,1920 x 1080,,44444,16,1024,60,8,6.0,3,60.75
HP,Victus 15-fa2013dx,Intel Core i5-13420H,NVIDIA® GeForce RTX™ 3050,8 GB DDR4-3200 MT/s (1 x 8 GB) Transfer rates up to 3200 MT/s. 1 x 8 GB,512 GB PCIe® Gen4 NVMe™ M.2 SSD,,,33699,8,512,60,6,6.0,2,49.0
ASUS,V16 V3607VJ-RP007W,Intel Core 7 240H,Nvidia GeForce RTX 3050 6GB,16GB DDR5 SO-DIMM,512GB M.2 NVMe™ PCIe® 4.0 SSD,1920 x 1200,144 Hz,39999,16,512,144,8,6.0,3,60.0
Lenovo,LOQ 15IAX9,Intel® Core i5-12450HX,NVIDIA® GeForce RTX™ 4050,24GB 2x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920x1080,144 Hz,38888,24,512,144,6,7.0,3,57.75
Lenovo,LOQ 15IAX9,Intel® Core™ i5-12450HX,NVIDIA® GeForce RTX™ 3050,1x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920x1080,144 Hz,30999,12,512,144,6,6.0,3,52.38
HP,Victus 15-FA1021NIA,Intel Core i7-13700H,Nvidia GeForce RTX 3050 6GB,8 GB DDR4-3200 MT/s (1 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,43199,8,512,144,8,6.0,3,58.75
Lenovo,LOQ 15IRX10,Intel® Core i7-14700HX,Nvidia GeForce RTX 5050 8GB,24GB 2x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920 x 1080,144 Hz,52999,24,512,144,8,8.0,3,68.25
Lenovo,Lenovo Legion Pro 5 16IAX10H,Intel Core Ultra 9 275HX,NVIDIA® GeForce RTX™ 5070 Ti 12GB,32GB 2x 16GB SO-DIMM DDR5-5600,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe,2560x1600,165 HZ,160000,32,1024,165,10,9.0,4,83.94
Lenovo,Legion Pro 5 16IRX9,Intel Core i9-14900HX,Nvidia GeForce RTX 4070 8GB,32GB 2x 16GB SO-DIMM DDR5-5600,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,2560 x 1600,240 HZ,103499,32,1024,240,10,8.5,4,83.75
MSI,Crosshair 16 HX AI D2XWFKG,Intel Core Ultra 7 255HX,Nvidia GeForce RTX 5060,16GB DDR5 8GB*2,1TB NVMe PCIe SSD Gen4x4,2560 x 1600,240 HZ,76850,16,1024,240,8,8.5,4,74.25
MSI,Crosshair 16 HX AI D2XWGKG,Intel Core Ultra 7 255HX,Nvidia GeForce RTX 5070 8GB,16GB DDR5 8GB*2,1TB NVMe PCIe SSD Gen4x4,2560 x 1600,240 HZ,85450,16,1024,240,8,9.0,4,76.0
MSI,Vector 16 HX AI A2XWHG,Intel Core Ultra 7 255HX,Nvidia GeForce RTX 5070Ti 12GB,16GB DDR5 8GB*2,1TB NVMe PCIe SSD Gen4x4,2560 x 1600,240 HZ,158409,16,1024,240,8,9.0,4,76.0
ASUS,ROG Strix G16 G614FR-G4032W,AMD Ryzen 9 9955HX,Nvidia GeForce RTX 5070Ti 12GB,"32GB (16GB DDR5-5600 SO-DIMM, *2)",1TB PCIe® 4.0 NVMe™ M.2 SSD,2560 x 1600,240 HZ,128888,32,1024,240,10,9.0,4,85.5
Lenovo,LOQ 15IAX9E,Intel Core i7-12650HX,Nvidia GeForce RTX 4050 6GB,1x 16GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920 x 1080,144 Hz,40999,16,512,144,8,7.0,3,63.5
ASUS,TUF Gaming F16 FX607VU-RL007W,Intel Core i7-13620H,Nvidia GeForce RTX 4050 6GB,16GB DDR5-5600 SO-DIMM,512GB PCIe® 4.0 NVMe™ M.2 SSD,1920 x 1200,144 Hz,49999,16,512,144,8,7.0,3,63.5
ASUS,TUF Gaming F16 FX607VJ-RL165W,Intel Core 5 210H,Nvidia GeForce RTX 3050,16GB DDR4,512GB PCIe® 4.0 NVMe™ M.2 SSD,1920 x 1200,144 Hz,42199,16,512,144,6,6.0,3,53.0
ASUS,ProArt P16 H7606WP-ME021X,AMD Ryzen AI 9 HX 370,Nvidia GeForce RTX 5070 8GB,64GB LPDDR5X on board,2TB M.2 NVMe PCIe 4.0 SSD,3840 x 2400,60 Hz,152000,64,2048,60,5,9.0,5,75.25
Lenovo,LOQ 15IAX9E,Intel® Core i5-12450HX,Nvidia GeForce RTX 4050 6GB,1x 16GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920 x 1080,144 Hz,34999,16,512,144,6,7.0,3,56.5
ASUS,Vivobook 16X K3605VC-RP005W,Intel Core i5-13420H,Nvidia GeForce RTX 3050 4GB,16GB 8GB DDR4 on board 8GB DDR4 SO-DIMM,512GB M.2 NVMe™ PCIe® 4.0 SSD,1920 x 1200,144 Hz,36666,16,512,144,6,6.0,3,53.0
HP,Victus 15-FA1095NE,Intel Core i5-13420H,Nvidia GeForce RTX 2050 4GB,8 GB DDR4-3200 MT/s (1 x 8 GB),1 TB PCIe® NVMe™ SSD,1920 x 1080,,29999,8,1024,60,6,5.0,3,49.0
Lenovo,LOQ 15IRX10,Intel Core i7-14700HX,Nvidia GeForce RTX 5060 8GB,24GB 2x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920 x 1080,144 Hz,58499,24,512,144,8,8.5,3,70.0
Lenovo,LOQ 15IRX10,Intel Core i7-14700HX,Nvidia GeForce RTX 5050 8GB,24GB 2x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920 x 1080,144 Hz,58888,24,512,144,8,8.0,3,68.25
HP,Victus 15-FA1097NE,Intel Core i7-13700H,Nvidia GeForce RTX 4050 6GB,16GB DDR4-3200 MT/s (2 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,46444,16,512,144,8,7.0,3,63.5
HP,Victus 16-R0050NIA,Intel Core i7-13700H,Nvidia GeForce RTX 4050 6GB,16 GB DDR5-5200 MT/s (2 x 8 GB),1 TB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,48888,16,1024,144,8,7.0,3,66.0
MSI,Sword 16 HX B14VFKG,Intel Core i7-14650HX,NVIDIA® GeForce RTX™ 4060,16GB DDR5-5600 2*8,512GB NVMe PCIe SSD Gen4x4 w/o DRAM,1920 x 1200,144 Hz,62999,16,512,144,8,8.0,3,67.0
HP,Victus 15-FA1007NE,Intel Core i7-13700H,Nvidia GeForce RTX 3050 6GB,16 GB DDR4-3200 MT/s (2 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,44444,16,512,144,8,6.0,3,60.0
HP,Victus16-r1029nia,Intel® Core™ i5-14450HX,Nvida GeForce RTX 3050,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,,,38999,16,1024,60,6,6.0,2,52.75
Lenovo,LOQ 15ARP9,AMD Ryzen™ 5 7235HS,NVIDIA® GeForce RTX™ 3050,12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920 x 1080,144 Hz,31999,12,512,144,5,6.0,3,48.88
Lenovo,LOQ 15IRX9,Intel® Core™ i7-13650HX,NVIDIA® GeForce RTX™ 3050,24GB 2x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920 x 1080,144 Hz,42999,24,512,144,8,6.0,3,61.25
ASUS,ROG Strix G16 G615LR-GR132W,Intel Core Ultra 9 275HX,Nvidia GeForce RTX 5070Ti 12GB,32GB DDR5-5600 SO-DIMM,1TB PCIe® 4.0 NVMe™ M.2 SSD,1920x1200,165 HZ,134999,32,1024,165,10,9.0,3,82.94
ASUS,ROG Zephyrus G14 GA403WR-WH320W,AMD Ryzen™ AI 9 HX 370,Nvidia GeForce RTX 5070 Ti,32GB,1TB PCIe® 4.0 NVMe™ M.2 SSD,2880 x 1800,120 Hz,129500,32,1024,120,5,9.0,4,65.5
ASUS,ROG Strix SCAR 18 G835LW-AI642W,Intel Core Ultra 9 275HX,Nvidia GeForce RTX 5080 16GB,64GB,2TB PCIe® 4.0 NVMe™ M.2 Performance SSD,2560 x 1600,240 HZ,204999,64,2048,240,10,9.5,4,97.25
ASUS,ROG Zephyrus G14 GA403WR-GR320W,AMD Ryzen™ AI 9 HX 370,Nvidia GeForce RTX 5070 Ti,32GB,1TB PCIe® 4.0 NVMe™ M.2 SSD,2880 x 1800,120 Hz,129500,32,1024,120,5,9.0,4,65.5
ASUS,ROG Zephyrus G16 GU605CW-WH164W,Intel Core Ultra 9 285H,Nvidia GeForce RTX 5080 16GB,64GB LPDDR5X on board,2TB PCIe® 4.0 NVMe™ M.2 SSD,2560 x 1600,240 HZ,189999,64,2048,240,10,9.5,4,97.25
Lenovo,LOQ 15IAX9,Intel Core i5-12600HX,Nvidia GeForce RTX 3050,12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920x1080,144 Hz,35555,12,512,144,6,6.0,3,52.38
MSI,Vector 16 HX A13VHG,Intel Core I9-13980HX,Nvidia GeForce RTX 4080 12GB,16GB Ram,1TB SSD,1920 x 1200,144 Hz,122222,16,1024,144,10,9.0,3,80.0
HP,Victus 16-R0328TX,Intel Core i7-13700HX,NVIDIA® GeForce RTX™ 4060 8GB,16 GB DDR5-4800 MT/s (2 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,52499,16,512,144,8,8.0,3,67.0
Dell,G15 5530,Intel Core i9-13900HX,Nvidia GeForce RTX 4060 8GB,"32GB DDR5, 2x16GB, 4800MT/s","1TB, M.2, PCIe NVMe, SSD",1920 x 1080,165 HZ,83999,32,1024,165,10,8.0,3,79.44
HP,Victus 16-R0049NIA,Intel Core i7-13700H,Nvidia GeForce RTX 4050 6GB,16 GB DDR5-5200 MT/s (2 x 8 GB),1 TB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,47999,16,1024,144,8,7.0,3,66.0
Dell,G15 5530,Intel Core I7-13650HX,NVIDIA® GeForce RTX™ 4060,"16GB, 2x8GB, DDR5, 4800MHz","1TB, M.2, PCIe NVMe, SSD",1920 x 1080,165 HZ,63599,16,1024,165,8,8.0,3,69.94
HP,Victus 16-R0022NE,Intel Core i5-13500H,Nvidia GeForce RTX 4050 6GB,16 GB DDR5-5200 MT/s (2 x 8,512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,41199,16,512,144,6,7.0,3,56.5
HP,Victus 15-FA1006NE,Intel Core i7-13700H,Nvidia GeForce RTX 3050 6GB,16 GB DDR4-3200 MT/s (2 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,44444,16,512,144,8,6.0,3,60.0
Lenovo,Legion 5 15ITH6H,Intel Core I7-11800H,Nvidia GeForce RTX 3070 8GB,16GB 2x 8GB SO-DIMM DDR4-3200,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,1920 x 1080,165 HZ,57777,16,1024,165,8,7.0,3,66.44
Lenovo,Legion Pro 5 16IRX8,Intel Core I9-13900HX,Nvidia GeForce RTX 4050 6GB,16GB 2x 8GB SO-DIMM DDR5-5600,512GB SSD M.2 2280 PCIe® 4.0x4 NVMe®,2560 x 1600,165 HZ,72999,16,512,165,10,7.0,4,71.94
Lenovo,IdeaPad Pro 5 16IMH9,Intel Core Ultra 7 155H,Nvidia GeForce RTX 3050 6GB,16GB Soldered LPDDR5x-7467,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,2048 x 1280,120 Hz,66666,16,512,120,8,6.0,3,59.5
Lenovo,Legion 5 15ACH6A,AMD Ryzen 7 5800H,AMD Radeon RX 6600M 8GB,16GB 2x 8GB SO-DIMM DDR4-3200,1TB SSD M.2 2280 PCIe® 3.0x4 NVMe®,1920 x 1080,165 HZ,45499,16,1024,165,8,4.0,3,55.94
ASUS,TUF Gaming F16 FX607VU-RL165W,Intel Core 5 210H,Nvidia GeForce RTX 4050 6GB,16GB Ram,512GB PCIe® 4.0 NVMe™ M.2 SSD,1920 x 1200,144 Hz,41999,16,512,144,6,7.0,3,56.5
ASUS,TUF Gaming F15 FX507ZI4-LP34W,Intel Core I7-12700H,Nvidia GeForce RTX 4070 8GB,16GB DDR4-3200 SO-DIMM,512GB SSD,1920 x 1080,144 Hz,58999,16,512,144,8,8.5,3,68.75
Lenovo,Legion 5 16IRX9,Intel Core I9-14900HX,Nvidia GeForce RTX 4060 8GB,32GB 2x 16GB SO-DIMM DDR5-5600,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,2560 x 1600,165 HZ,82499,32,1024,165,10,8.0,4,80.44
MSI,Thin A15 B7UC,AMD Ryzen 7 7735HS,NVIDIA® GeForce RTX™ 3050 4GB,16GB DDR5 8GB*2,512GB NVMe PCIe SSD,1920 x 1080,144 Hz,36899,16,512,144,8,6.0,3,60.0
MSI,Thin 15 A B7VE,AMD Ryzen 7 7735HS,Nvidia GeForce RTX 4050 6GB,16GB DDR5 8GB*2,512GB NVMe PCIe SSD,1920 x 1080,144 Hz,38339,16,512,144,8,7.0,3,63.5
MSI,Thin 15 B12UCX,Intel Core i5-12450H,NVIDIA® GeForce RTX™ 2050,8GB DDR4-3200,512GB SSD slot (NVMe PCIe Gen4,1920x1080,144 Hz,28449,8,512,144,6,5.0,3,48.25
MSI,Thin 15 B13VE,Intel® Core™ i7-13620H,NVIDIA® GeForce RTX™ 4050,16GB DDR4-3200,512GB SSD slot (NVMe PCIe Gen4),1920x1080,144 Hz,42999,16,512,144,8,7.0,3,63.5
HP,16-r0042ne,Intel® Core™ i7-13700H,NVIDIA® GeForce RTX™ 4060,16 GB DDR5-5200 MT/s (2 x 8 GB)  (Transfer rates up to 5200 MT/s.),1 TB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,51999,16,1024,144,8,8.0,3,69.5
HP,OMEN 16-AE0073CL,Intel Core I7-14650HX,Nvidia GeForce RTX 4060 8GB,32 GB DDR5-5600 MHz RAM (2 x 16 GB),1 TB PCIe® NVMe™ M.2 SSD,1920 x 1080,144 Hz,74999,32,1024,144,8,8.0,3,72.0
ASUS,ROG Zephyrus G16 GA605WI-QR050W,AMD Ryzen AI 9 HX 370,NVIDIA® GeForce RTX™ 4070 8GB,32GB 16GB*2 LPDDR5X on board,1TB PCIe® 4.0 NVMe™ M.2 SSD,2560 x 1600,240 HZ,134999,32,1024,240,5,8.5,4,66.25
ASUS,ProArt P16 H7606WI-ME058W,AMD Ryzen AI 9 HX 370,NVIDIA® GeForce RTX™ 4070,64GB LPDDR5X on board,2TB M.2 NVMe™ PCIe® 4.0 SSD,3840 x 2400,60 Hz,150000,64,2048,60,5,8.5,5,73.5
ASUS,TUF Gaming A14 FA401WU-RG037W,AMD Ryzen AI 9 HX 370,Nvidia GeForce RTX 4050 6GB,16GB 8GB*2 LPDDR5X 7500 on board,1TB PCIe® 4.0 NVMe™ M.2 SSD,2560 x 1600,165 HZ,69999,16,1024,165,5,7.0,4,56.94
Lenovo,Legion 5 16IRX9,Intel Core I7-14650HX,Nvidia GeForce RTX 4060 8GB,16GB 2x 8GB SO-DIMM DDR5-5600,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,2560x1600,165 HZ,67999,16,1024,165,8,8.0,4,70.94
Lenovo,LOQ 15IRX9,Intel Core I7-13650HX,Nvidia GeForce RTX 4060 8GB,24GB 2x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920 x 1080,144 Hz,51999,24,512,144,8,8.0,3,68.25
Lenovo,Legion Pro 5 16IRX9,Intel® Core™ i7-14700HX,NVIDIA® GeForce RTX™ 4070 8GB GDDR6,1x 16GB SO-DIMM DDR5-5600,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,2560 x 1600,165 HZ,89999,16,1024,165,8,8.5,4,72.69
Lenovo,83LK0070ED,Intel® Core™ i5-12450HX,Nvidia GeForce RTX 3050,16GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920x1080,144 Hz,31999,16,512,144,6,6.0,3,53.0
Lenovo,IdeaPad Pro 5 16IMH9,Intel Core Ultra 9 185H,NVIDIA® GeForce RTX™ 4050,32GB Soldered LPDDR5x-7467,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,2048x1280,120 Hz,70499,32,1024,120,10,7.0,3,75.0
Lenovo,Legion 5 16IRX9,Intel® Core™ i7-13650HX,Nvidia GeForce RTX 4060,2x 8GB SO-DIMM DDR5-4800,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,2560x1600,165 HZ,64999,8,1024,165,8,8.0,4,69.69
HP,OMEN 16T-WF000​,Intel Core i7-14700HX,Nvidia GeForce RTX 4070 8GB​,16 GB RAM,512GB SSD,1920 X 1080,165 HZ,86666,16,512,165,8,8.5,3,69.19
Lenovo,Legion Pro 5 16IRX9,Intel Core i9-14900HX,NVIDIA® GeForce RTX™ 4070 8GB,32GB 2x 16GB SO-DIMM DDR5-5600,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,2560 x 1600,240 HZ,109999,32,1024,240,10,8.5,4,83.75
HP,Victus 15-FA1002NE,Intel Core i7-13700H,NVIDIA® GeForce RTX™ 4050 6GB,16 GB DDR4-3200 MT/s (2 x 8 GB),1 TB PCIe® NVMe™ SSD,1920 x 1080,144 Hz,50999,16,1024,144,8,7.0,3,66.0
HP,Victus 15-fa1041ne,Intel Core i5-13500H,NVIDIA® GeForce RTX™ 3050,16GB Ram,512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,35499,16,512,144,6,6.0,3,53.0
Lenovo,Legion Pro 5 16IRX9,Intel Core i7-14650HX,NVIDIA® GeForce RTX™ 4060 8GB,1x 16GB SO-DIMM DDR5-5600,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,2560 x 1600,240 HZ,69999,16,1024,240,8,8.0,4,72.5
HP,Victus 15-FA1039NE,Intel Core i7-13700H,NVIDIA® GeForce RTX™ 3050 6GB,16GB Ram,512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,46999,16,512,144,8,6.0,3,60.0
Lenovo,LOQ 15ARP9,AMD Ryzen 7 7435HS,NVIDIA® GeForce RTX™ 4070 8GB,16GB 2x 8GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920 x 1080,144 Hz,60650,16,512,144,8,8.5,3,68.75
Lenovo,LOQ 15IRX9,Intel Core i7-13650HX,NVIDIA® GeForce RTX™ 4060 8GB,1x 16GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920 x 1080,144 Hz,53499,16,512,144,8,8.0,3,67.0
MSI,Sword 17 HX B14VGKG,Intel Core I7-14650HX,Nvidia GeForce RTX 4070 8GB,16GB DDR5 8GB*2,1TB NVMe PCIe SSD Gen4x4,2560 x 1600,240 HZ,88888,16,1024,240,8,8.5,4,74.25
MSI,Katana 15 B13VFK,Intel Core I9-13900H,Nvidia GeForce RTX 4060 8GB,32GB 16GB DDR5 x 2,1TB NVMe PCIe SSD Gen4x4,2560*1440,165 HZ,68422,32,1024,165,10,8.0,3,79.44
MSI,CYBORG 15 A13UDX,I5-13420H,NVIDIA® GeForce RTX™ 3050,16GB - DDR5,512GB 1x M.2 SSD slot,1920x1080,144 Hz,36499,16,512,144,6,6.0,3,53.0
MSI,Sword 16 HX B13VFKG,Intel Core i7 -13700HX,NVIDIA GeForce RTX 4060,16GB  2*8 DDR5,512GB NVMe PCIe SSD Gen4x4 w/o DRAM,1920 x 1200,144 Hz,57877,16,512,144,8,8.0,3,67.0
MSI,Vector 16 HX A14VHG,Intel® Core™ i9-14900HX,NVIDIA GeForce RTX 4080,32GB,1TB SSD NVMe PCIe Gen4x4,2560 x 1600,240 HZ,129999,32,1024,240,10,9.0,4,85.5
MSI,Thin 15 B13UCX,Intel Core i7-13620H,NVIDIA® GeForce RTX™ 2050 Laptop GPU,16GB,512GB NVMe PCIe SSD Gen4x4,1920X1080,144 Hz,33399,16,512,144,8,5.0,3,56.5
MSI,Pulse 17 AI C1VGKG,Up to Intel® Core™ Ultra 9,NVIDIA® GeForce RTX™ 4070 Laptop GPU 8GB GDDR6,16GB 2*8 DDR5,1TB NVMe PCIe SSD Gen4x4,2560x1600,240 HZ,102000,16,1024,240,10,8.5,4,81.25
MSI,Raider 18 HX A14VIG,Intel Core i9-14900HX,NVIDIA® GeForce RTX™ 4090,32GB 16GB x2 DDR5,2TB NVMe PCIe Gen4x4 SSD,2560x1600,240 HZ,176499,32,2048,240,10,9.5,4,92.25
HP,​HP Victus 15-FA1038NE,Intel® Core™ i7-13700H,NVIDIA® GeForce RTX™ 3050,16GB Ram,512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,43999,16,512,144,8,6.0,3,60.0
HP,Victus 15-FB1004NE,AMD Ryzen™ 5 7535HS,NVIDIA® GeForce RTX™ 2050,16 GB DDR5-4800 MT/s,512GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,29999,16,512,144,5,5.0,3,46.0
Dell,Inspiron 16 Plus 7630,Intel® Core™ i7-13620H,NVIDIA® GeForce RTX™ 4050,"16 GB LPDDR5, 4800 MT/s (onboard)","2 TB, M.2 PCIe NVMe SSD",2560x1600,120Hz,52499,16,2048,120,8,7.0,4,71.5
